0.012s
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x11, wall time: 0.021834s, L3 cache miss ratio: 13999420262962300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x12, wall time: 0.020082s, L3 cache miss ratio: 14027848731186300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x1, wall time: 0.011010s, L3 cache miss ratio: 14037415027250300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x2, wall time: 0.014802s, L3 cache miss ratio: 13968033040946300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x3, wall time: 0.013639s, L3 cache miss ratio: 13976694778827900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x4, wall time: 0.014719s, L3 cache miss ratio: 14068497389311100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x5, wall time: 0.015098s, L3 cache miss ratio: 14017784079307900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x6, wall time: 0.015715s, L3 cache miss ratio: 13969021839922300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x7, wall time: 0.016189s, L3 cache miss ratio: 13978996456805500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x8, wall time: 0.016765s, L3 cache miss ratio: 13973188341503100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x9, wall time: 0.020104s, L3 cache miss ratio: 13979808755455100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x10, wall time: 0.017086s, L3 cache miss ratio: 14046695220581500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x11, wall time: 0.021399s, L3 cache miss ratio: 14061764047000700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_8x12, wall time: 0.018406s, L3 cache miss ratio: 14067397673931900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x1, wall time: 0.015278s, L3 cache miss ratio: 14060034422117500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x2, wall time: 0.016014s, L3 cache miss ratio: 13967225441637500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x3, wall time: 0.016823s, L3 cache miss ratio: 13972894652978300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x4, wall time: 0.017811s, L3 cache miss ratio: 14039306651800700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x5, wall time: 0.019045s, L3 cache miss ratio: 14056045360895100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x6, wall time: 0.019216s, L3 cache miss ratio: 14024674547864700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x7, wall time: 0.019753s, L3 cache miss ratio: 13978531568587900.000%, FLOPS:4361373.000000
